ContextTokens,GeneratedTokens,start_timestamp_ms
238,14,367498
685,137,367734
1020,502,367833
1315,144,367940
4083,42,368362
9,166,368918
421,93,369043
1200,526,369173
2584,113,369234
394,91,369406
1628,48,369983
1046,442,370036
383,84,370038
376,65,370172
4132,60,370231
379,87,370266
1046,395,370402
1173,420,370576
1351,186,370650
243,14,370817
410,100,371041
387,52,372052
1034,429,372278
1162,411,373130
1121,506,373469
331,18,374544
1081,388,374627
4093,68,374721
30,182,374798
2525,81,374814
4484,64,375238
1073,408,375687
1191,407,376280
1094,362,376341
459,562,376700
985,426,376751
6445,51,376801
395,87,376897
1070,392,377092
1786,50,377326
1081,414,377362
1130,459,377525
1320,192,377999
1023,377,378081
2374,120,378167
4086,47,378215
238,14,378472
1314,137,378906
1072,398,378990
394,89,379097
373,60,379530
375,66,379785
1142,491,379985
395,116,380032
1044,394,380247
1021,398,380562
406,91,380563
996,446,380660
1010,635,380925
1156,424,381137
1115,413,381547
1116,401,381592
1045,390,381604
1529,56,381802
1163,386,381962
440,117,382640
457,98,382791
4083,53,382794
1313,135,382840
1044,368,382884
1170,939,383691
1038,396,383729
2001,74,383810
392,103,384047
966,403,384356
120,12,384951
